"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
11427,233,400,58.25,"20200403"
11428,167,252,66.27,"20200403"
11434,536,803,66.75,"20200403"
11432,448,711,63.01,"20200403"
11433,226,344,65.7,"20200403"
11435,409,684,59.8,"20200403"
11436,137,205,66.83,"20200403"
11691,616,926,66.52,"20200403"
11692,155,246,63.01,"20200403"
11693,116,189,61.38,"20200403"
11694,188,349,53.87,"20200403"
11697,30,71,42.25,"20200403"
NA,4530,4534,99.91,"20200404"
10001,146,321,45.48,"20200404"
10002,341,684,49.85,"20200404"
10003,198,464,42.67,"20200404"
10004,20,45,44.44,"20200404"
10005,28,95,29.47,"20200404"
10006,7,28,25,"20200404"
10007,29,78,37.18,"20200404"
10009,253,581,43.55,"20200404"
10010,119,344,34.59,"20200404"
10011,267,576,46.35,"20200404"
10012,80,217,36.87,"20200404"
10013,122,271,45.02,"20200404"
10014,168,357,47.06,"20200404"
10016,311,700,44.43,"20200404"
10017,63,183,34.43,"20200404"
10018,103,225,45.78,"20200404"
10019,237,542,43.73,"20200404"
10021,271,705,38.44,"20200404"
10022,157,417,37.65,"20200404"
10023,245,621,39.45,"20200404"
10024,270,756,35.71,"20200404"
10025,357,946,37.74,"20200404"
10026,188,395,47.59,"20200404"
10027,250,540,46.3,"20200404"
10028,229,571,40.11,"20200404"
10029,421,882,47.73,"20200404"
10030,149,267,55.81,"20200404"
10031,314,541,58.04,"20200404"
10032,431,724,59.53,"20200404"
10033,366,626,58.47,"20200404"
10034,169,350,48.29,"20200404"
10035,233,483,48.24,"20200404"
10036,157,346,45.38,"20200404"
10037,108,222,48.65,"20200404"
10038,97,211,45.97,"20200404"
10039,147,287,51.22,"20200404"
10040,278,462,60.17,"20200404"
10044,63,146,43.15,"20200404"
10065,166,487,34.09,"20200404"
10069,29,70,41.43,"20200404"
10075,195,433,45.03,"20200404"
10128,275,718,38.3,"20200404"
10280,19,59,32.2,"20200404"
10282,30,58,51.72,"20200404"
10301,253,459,55.12,"20200404"
10302,103,205,50.24,"20200404"
10303,159,322,49.38,"20200404"
10304,397,717,55.37,"20200404"
10305,280,607,46.13,"20200404"
10306,365,808,45.17,"20200404"
10307,99,202,49.01,"20200404"
10308,197,438,44.98,"20200404"
10309,230,483,47.62,"20200404"
10310,142,300,47.33,"20200404"
10312,442,856,51.64,"20200404"
10314,663,1314,50.46,"20200404"
10451,370,665,55.64,"20200404"
10452,542,877,61.8,"20200404"
10453,573,917,62.49,"20200404"
10454,273,475,57.47,"20200404"
10455,257,469,54.8,"20200404"
10456,548,958,57.2,"20200404"
10457,483,814,59.34,"20200404"
10458,495,862,57.42,"20200404"
10459,340,574,59.23,"20200404"
10460,371,661,56.13,"20200404"
10461,496,923,53.74,"20200404"
10462,597,1096,54.47,"20200404"
10463,367,852,43.08,"20200404"
10464,30,78,38.46,"20200404"
10465,426,885,48.14,"20200404"
10466,548,950,57.68,"20200404"
